perfis,grauSatisfacao,observacao,versao,dataHora,municipio
"[""DIGITADOR"",""GERENTE DE UNIDADE DE SAÚDE"",""ENFERMEIRO"",""ESCUTA INICIAL""]",INDIFERENTE,Tremores na tela. Não desaparece condição de gravidez ao inserir parto. Não atende a enfermagem com os diagnósticos e resultados de enfermagem,5.0.0,12-05-2022 11:12:16,DOURADOS/MS
"[""MÉDICO"",""ESCUTA INICIAL""]",INSATISFEITO,"Pagina cansativa, poluída , muitas melhoram mas o formato da tela dificulta o andamento torna - se demorado , ao anortamos os resultados de exames no formato que está salvando em bloco é ruim , se há queda no sistema perdemos tudo que já foi lançado pois não salva individualmente e automático.",5.0.0,12-05-2022 11:14:03,DOURADOS/MS
"[""MÉDICO"",""ESCUTA INICIAL""]",MUITO_INSATISFEITO,"versão muito poluida.  Problema para fazer receituarios e inserir exames. Dificil de manusear essa versão. Registro das consultas ficou 2x mais demorado.  Falta incluir varios tipos de exames, por exemplo USG morfologico e de partes moles ... Enfim, insatisfeita. Prefiro a versao anterior.",5.0.0,12-05-2022 11:15:31,DOURADOS/MS
"[""CIRURGIÃO DENTISTA"",""ESCUTA INICIAL""]",SATISFEITO,Acesso aos  relatórios de gestantes aberto ao cirurgião dentista devido ao indicador do programa  Previne Brasil.,5.0.0,12-05-2022 11:17:58,DOURADOS/MS
"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL"",""AUXILIAR OU TÉCNICO DE ENFERMAGEM DOURADOS""]",INSATISFEITO,Nao tem como corrigir erros de lançamentos.,5.0.0,12-05-2022 11:20:19,DOURADOS/MS
"[""GERENTE DE UNIDADE DE SAÚDE"",""ENFERMEIRO"",""ESCUTA INICIAL""]",SATISFEITO,TEM CRIANÇAS QUE QUANDO A GENTE CLICA PARA ATENDER A TELA FICA BRANCA E NÃO DA PRA REALIZAR A CONSULTA. JÁ ACONTECEU COM VÁRIOS PACIENTES.,5.0.0,12-05-2022 11:20:24,DOURADOS/MS
"[""GERENTE DE UNIDADE DE SAÚDE"",""UNIFICAÇAO"",""ENFERMEIRO"",""ESCUTA INICIAL""]",MUITO_INSATISFEITO,"ESSAS MUDANÇAS DE ORGANIZAÇOA DE TELA, FICOU EXTREMAMENTE CONFUSO, MUITOS BUGS NO SIASTEMA, DIFICULDADES DE FINALIZAR SISTEMAS",5.0.0,12-05-2022 11:21:42,DOURADOS/MS
"[""GERENTE DE UNIDADE DE SAÚDE"",""ENFERMEIRO"",""ESCUTA INICIAL""]",INSATISFEITO,"está difícil resolver a condição de gestante, quando é ciap ok, mas quando foi lançada como cid, não consigo lançar como resolvido no meu login de enfermeiro",5.0.0,12-05-2022 11:23:57,DOURADOS/MS
"[""CIRURGIÃO DENTISTA"",""ESCUTA INICIAL""]",SATISFEITO,"está difícil resolver a condição de gestante, quando é ciap ok, mas quando foi lançada como cid, não consigo lançar como resolvido no meu login de enfermeiro",5.0.0,12-05-2022 11:26:34,DOURADOS/MS
"[""MÉDICO"",""ESCUTA INICIAL""]",INSATISFEITO,replicação de receitas com problemas,5.0.0,12-05-2022 11:27:21,DOURADOS/MS
"[""ACS - AGENTE COMUNITÁRIO DE SAÚDE""]",INDIFERENTE,a cada nova versao dados ficam confusos,5.0.0,12-05-2022 11:32:44,DOURADOS/MS
"[""MÉDICO"",""ESCUTA INICIAL""]",MUITO_INSATISFEITO,"tem dificultado mais os atendimentos, pois tem prontuários que nao é possível encerrar",5.0.0,12-05-2022 11:37:31,DOURADOS/MS
"[""MÉDICO"",""ESCUTA INICIAL""]",INDIFERENTE,"a questão do atestado foi modificado, pq o correto é o paciente nos autorizar em darmos os cids, como era anteriormente. obrigado..",5.0.0,12-05-2022 11:45:12,DOURADOS/MS
"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL"",""AUXILIAR OU TÉCNICO DE ENFERMAGEM DOURADOS""]",SATISFEITO,"Modolo vacina em HPV, quando necessario administrar em adultos deveria ter um incone expecifico para tal.",5.0.0,12-05-2022 11:52:45,DOURADOS/MS
"[""ACS - AGENTE COMUNITÁRIO DE SAÚDE"",""ESCUTA INICIAL""]",SATISFEITO,"alguns dias , nao aparece a listagem da gestantes, crianças e hipertensos. nao conseguimos ver quem são .os nomes.",5.0.0,12-05-2022 12:03:50,DOURADOS/MS
"[""DIGITADOR"",""GERENTE DE UNIDADE DE SAÚDE"",""ENFERMEIRO"",""ESCUTA INICIAL""]",INDIFERENTE,tem uma paciente expecifica que nao consigo dar baixa na condição de gestante cartao sus 700008918070602,5.0.0,12-05-2022 12:09:40,DOURADOS/MS
"[""ACS - AGENTE COMUNITÁRIO DE SAÚDE"",""ESCUTA INICIAL""]",SATISFEITO,"esta melhorando, porem ainda existem muitas falhas. Um exemplo é sobre as gestantes que consta no cadastro e não aparece no individual.",5.0.0,12-05-2022 12:26:57,DOURADOS/MS
"[""ENFERMEIRO"",""ESCUTA INICIAL""]",INDIFERENTE,"atualizações muito frequentes, Quando terminamos de treinar a equipe já há uma nova atualização",5.0.0,12-05-2022 12:31:30,DOURADOS/MS
"[""MÉDICO"",""ESCUTA INICIAL""]",SATISFEITO,"Não consigo por doses quebradas, o que na pediatria tem que ter.
Não aparece mais o estoque de medicamentos disponiveis.",5.0.0,12-05-2022 12:40:56,DOURADOS/MS
"[""GERENTE DE UNIDADE DE SAÚDE"",""ENFERMEIRO"",""ESCUTA INICIAL""]",INSATISFEITO,Achei muito mais complicado para inserir dados. Fiz  abertura de pré natal e não consegui lançar. Sem contar que ficou muito poluído.,5.0.0,12-05-2022 17:08:41,DOURADOS/MS
"[""CIRURGIÃO DENTISTA"",""ESCUTA INICIAL""]",SATISFEITO,"A nova versão ficou muito boa! Porém os espaços descritivos são muito estreitos , principlamento o subjetivo, objetivo e avaliação são estreitos , dificultando a leiitura  nomomento das anotações.  Aliá peenso que deveria se ter apenas um espaço descritivos para facilitar e agilizar a descrição , avaliação e registros referentes ao paciente.",5.0.0,12-05-2022 17:10:02,DOURADOS/MS
"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL"",""AUXILIAR OU TÉCNICO DE ENFERMAGEM DOURADOS""]",MUITO_INSATISFEITO,ficou difícil essa nova atualização não veio nenhuma instrução de como preencher corretamente dificultou a vida dos profissionais,5.0.0,12-05-2022 17:10:59,DOURADOS/MS
"[""DIGITADOR"",""RECEPÇÃO""]",SATISFEITO,filtros mais fáceis,5.0.0,12-05-2022 19:26:36,DOURADOS/MS
"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL""]",MUITO_INSATISFEITO,POLUIÇÃO VISUAL.,5.0.0,13-05-2022 11:14:43,DOURADOS/MS
"[""MÉDICO"",""ESCUTA INICIAL""]",INDIFERENTE,"Algumas vezes ocorre erro na impressão da prescrição, especialmente naquelas copiadas. Também há, por vezes, falha na finalização do atendimento, sendo necessário cancelar e refazer o mesmo. O sistema não indica as causas desses erros.",5.0.0,13-05-2022 11:27:08,DOURADOS/MS
"[""MÉDICO"",""ESCUTA INICIAL""]",MUITO_INSATISFEITO,DIFICULDADE PARA FINALIZAÇÃO,5.0.0,13-05-2022 12:17:40,DOURADOS/MS
"[""ACS - AGENTE COMUNITÁRIO DE SAÚDE"",""ESCUTA INICIAL""]",INSATISFEITO,"sugestão: cadastro territorial,  possibilidade  de organizar por nome de rua, ou seja, todos pacientes de uma mesma rua aparecer na sequencia, atualmente nome das ruas aparece tudo misturado. 
Insatisfação: minha maior insatisfação é a dificuldade de localizar alguns domicílios que aparece somente no cadastro territorial e na inconsistência, quando é feita a busca, de todas as maneiras, não aparece para atualização. NA MINHA OPINIÃO, O SISTEMA DEVIA ACUSAR ALTOMATICAMENTO O ERRO.",5.0.0,13-05-2022 14:32:21,DOURADOS/MS
"[""DIGITADOR"",""GERENTE DE UNIDADE DE SAÚDE"",""UNIFICAÇAO"",""ESCUTA INICIAL""]",SATISFEITO,"Ainda tentando descobrir o leque de informações que tem o PEC. Aos poucos observando a necessidade de ter informações que contemplem a linha de cuidado no PEC.
OBS:. Sugestão - O PEC ter uma opção de login/senha para os profissionais que prestam atendimentos esporádicos na UBS EX: Enfermeiros, professores e estagiários de enfermagem entre outros.",5.0.0,13-05-2022 17:38:34,DOURADOS/MS
"[""ESCUTA INICIAL"",""MÉDICO""]",MUITO_INSATISFEITO,"PÁGINAS APRESENTANDO POLUIÇÃO VISUAL, TRAVA COM FREQUENCIA, SISTEMA MUITO CONFUSO, PÁGINA MUITAS VEZES NÃO, LIMITAÇÃO DE LINHAS PARA ESCRITA, CONFUSO PARA INCLUIR SINAIS VITAIS E EXAMES, PÁGINA FICA ""PULANDO E TREMENDO"", DIFICULDADE PÁRA INCLUIR GESTANTES QUANDO GESTAÇÃO ANTERIOR NÃO FOI FINALIZADA, MESMO QUANDO A GESTAÇÃO FOI HÁ ANOS, NÃO CONSEGUIMOS MAIS COLOCAR TÓPICOS, E AS LINHAS PARA PODER PULAR E COLOCAR UM EM BAIXO DA OUTRA TEMOS QQUE DAR 2 ENTER. MUITAS PÁGINAS PARA FAZER RECEITA",5.0.0,14-05-2022 11:00:01,MARÍLIA/SP
"[""MÉDICO""]",INSATISFEITO,ficou extremamente bagunçada a nova versão,5.0.0,14-05-2022 16:08:33,MARÍLIA/SP
"[""GERENTE DE UNIDADE DE SAÚDE"",""UNIFICAÇAO"",""ENFERMEIRO"",""ESCUTA INICIAL""]",INSATISFEITO,"A nova versão deixou a folha de rosto muito poluida com informação é importante otimizar as telas, no entanto poderia organizar melhor,",5.0.0,14-05-2022 18:23:21,DOURADOS/MS
"[""AGENDA"",""COORDENADOR DA UBS"",""COORDENADOR AD"",""MÉDICO AD"",""ESCUTA INICIAL"",""MÉDICO""]",INSATISFEITO,"Muita informação em uma tela, com ""poluição visual"". Muitos erros ao finalizar, tendo de reiniciar atendimento. Por vezes, não imprime atestados, receitas etc. Não tem possibilidade de colocar vírgula em dose dos medicamentos (necessário para pediatria, por exemplo). Encaminhamentos e impressos anteriores, se ""reimpressos"" saem com data atual e nome do profissional atual, não sendo condizente com a realidade.",5.0.0,14-05-2022 22:09:41,MARÍLIA/SP
"[""AGENDA"",""RECEPÇÃO"",""OUTRO PROF. NÍVEL MÉDIO/TÉCNICO"",""DIGITADOR"",""ACS - AGENTE COMUNITÁRIO DE SAÚDE"",""ESCUTA INICIAL""]",INSATISFEITO,A cada versão piora o programa,5.0.0,16-05-2022 09:59:49,MARÍLIA/SP
"[""COORDENADOR DA UBS"",""CIRURGIÃO DENTISTA"",""ESCUTA INICIAL""]",INSATISFEITO,"Página com muitas informações que dificultam a visualização. Muita poluição visual justamente quando temos urgência na digitação para atendimento. Odontograma , na maioria dos casos , sem as informações de atendimentos anteriores. Estão em branco.",5.0.0,16-05-2022 10:00:04,MARÍLIA/SP
"[""AGENDA"",""ESCUTA INICIAL"",""AUXILIAR OU TÉCNICO DE ENFERMAGEM""]",MUITO_INSATISFEITO,"APRESENTAÇÃO FICOU  COLORIDA DE MAIS AO OLHOS DIFICULTANDO PESQUISA FACIL, LETRAS PEQUENAS.
DEMORA PARA SAIR E ENTRAR NAS CONSULTAS.",5.0.0,16-05-2022 10:06:15,MARÍLIA/SP
"[""AGENDA"",""ESCUTA INICIAL"",""MÉDICO""]",INSATISFEITO,"Estão ocorrendo várias falhas no momento de finalizar prescrição, imprimir prescrição e encaminhamentos.",5.0.0,16-05-2022 10:06:37,MARÍLIA/SP
"[""AGENDA"",""ALUNO"",""DIGITADOR"",""ESCUTA INICIAL"",""ENFERMEIRO""]",MUITO_INSATISFEITO,NA ABA DE PUERICULTURA OS MENUS FICAM SOBREPOSTOS INVIABILIZANDO O USO.,5.0.0,16-05-2022 10:10:45,MARÍLIA/SP
"[""AGENDA"",""COORDENADOR DA UBS"",""ACE - AGENTE DE COMBATE ÀS ENDEMIAS"",""CIRURGIÃO DENTISTA"",""ESCUTA INICIAL""]",INSATISFEITO,"a visão da primeira página está bem poluída, com muitas informações. Também nos encaminhamentos falta endereço do paciente. Quando tiro relação das gestantes, já damos baixa na gestante e ela não sai da relação, já tentamos várias vezes sem sucesso, isso atrapalha o acompanhamento das condições de saúde da unidade.",5.0.0,16-05-2022 10:13:24,MARÍLIA/SP
"[""AGENDA"",""RECEPÇÃO"",""COORDENADOR DA UBS"",""DIGITADOR"",""OUTRO PROF. NÍVEL SUPERIOR"",""ESCUTA INICIAL"",""ENFERMEIRO""]",MUITO_INSATISFEITO,"muito lento
não imprime receita
nao finaliza consulta",5.0.0,16-05-2022 10:20:05,MARÍLIA/SP
"[""COORDENADOR DA UBS"",""ESCUTA INICIAL"",""MÉDICO""]",INSATISFEITO,,5.0.0,16-05-2022 11:04:51,MARÍLIA/SP
"[""CIRURGIÃO DENTISTA"",""ESCUTA INICIAL""]",MUITO_SATISFEITO,"poluição visual intensa , associado a um sistema de receita ineficaz - sendo impossivel descrever a posologia adequadamente alem de alguns medicamentos estrem classificados de forma incorreta.",5.0.0,16-05-2022 11:19:23,DOURADOS/MS
"[""AGENDA"",""OUTRO PROF. NÍVEL SUPERIOR"",""ESCUTA INICIAL""]",SATISFEITO,"Achei um pouco de ""poluição visual"" - muita informação numa tela só, poderia ser mais ""clean"". Entretanto, a forma de abrir e fechar na mesma tela as datas do histórico ficou mais rápida, facilitando o trabalho; a data mais visível à esquerda facilita também achar o atendimento. Mas senti falta dos números das páginas em baixo , pra ir direto à pagina desejada pra busca do atendimento. Grata pelo esforço na melhoria.",5.0.0,16-05-2022 11:24:22,MARÍLIA/SP
"[""ACS - AGENTE COMUNITÁRIO DE SAÚDE"",""ESCUTA INICIAL""]",INDIFERENTE,"sugestão: falta colocar onde estão cada pessoa com comorbidade, não consigo localizar em que cadastro domiciliar está as pessoas com comorbidade, gestantes, crianças. quando preciso encontrar tenho que açhar cidadão por cidadão",5.0.0,16-05-2022 12:38:54,DOURADOS/MS
"[""AGENDA"",""ASB - AUXILIAR DE SAÚDE BUCAL"",""DIGITADOR"",""ESCUTA INICIAL""]",MUITO_SATISFEITO,Parte odontológica: mostrar histórico de evoluções na aba SOAP; opção de esconder aba de medicações e aferições para melhor visualização e digitação do SOAP.,5.0.0,16-05-2022 15:20:23,MARÍLIA/SP
"[""MÉDICO AD"",""MÉDICO""]",INSATISFEITO,"às vezes é impossível imprimir o atendimento mesmo marcando a caixa antes de finalizar e, após finalizar, no historico, também. Além disso, as caixas de texto não tem mais opção de numerar as condutas no plano.",5.0.0,16-05-2022 16:12:06,null
"[""RECEPÇÃO"",""OUTRO PROF. NÍVEL MÉDIO/TÉCNICO"",""CIDADÃO"",""DIGITADOR"",""ESCUTA INICIAL"",""AUXILIAR OU TÉCNICO DE ENFERMAGEM""]",INDIFERENTE,"Deveria ser mais simples, toma muito tempo para atendimento.",5.0.0,16-05-2022 16:49:14,MARÍLIA/SP
"[""COORDENADOR DA UBS"",""OUTRO PROF. NÍVEL SUPERIOR"",""ESCUTA INICIAL"",""MÉDICO""]",INSATISFEITO,"Sistema trava, atualização confusa e visualmente poluída, não consigo prescrever 2,5 ml, apenas números inteiros",5.0.0,16-05-2022 18:30:06,MARÍLIA/SP
"[""COORDENADOR DA UBS"",""ESCUTA INICIAL"",""ENFERMEIRO""]",MUITO_INSATISFEITO,"poluição visual, dificuldade para terornar para pagina anterior.",5.0.0,16-05-2022 23:39:29,MARÍLIA/SP
"[""ESCUTA INICIAL"",""MÉDICO""]",INSATISFEITO,"Tela mega Poluida, muita informacao no mesmo lugar.
Nao da pra colocar virgula das doses das receitas.",5.0.0,17-05-2022 01:30:55,MARÍLIA/SP
"[""COORDENADOR DA UBS"",""COORDENADOR AD"",""ESCUTA INICIAL"",""MÉDICO""]",INSATISFEITO,visual extremamente carregado; visor com dados da anamnese muito reduzido; para renovar receitas não é possível incluir virgula; quando visualizo atendimento não aparece mg de medicamentos; quando imprimo um encaminhamento antigo ele sai com meu nome apesar de não ter sido eu; não imprime gráficos de crescimento da criança como o esus anterior; não puxou os exames anteriores;,5.0.0,17-05-2022 10:02:00,MARÍLIA/SP
"[""COORDENADOR DA UBS"",""ESCUTA INICIAL"",""ENFERMEIRO""]",INSATISFEITO,Poluição visual e espaços para digitação pequenos.,5.0.0,17-05-2022 10:04:02,MARÍLIA/SP
"[""AGENDA"",""ASB - AUXILIAR DE SAÚDE BUCAL"",""ESCUTA INICIAL""]",SATISFEITO,"Sugiro que adicionem  anamnese odontológica tanto para criança quanto para adulto, facilitaria muito o atendimento.",5.0.0,17-05-2022 10:04:38,MARÍLIA/SP
"[""RECEPÇÃO"",""ACS - AGENTE COMUNITÁRIO DE SAÚDE"",""ESCUTA INICIAL""]",INDIFERENTE,precisa da opção de tirar apelido/nome social do cartão SUS e do prontuário eletroinico.,5.0.0,17-05-2022 10:04:59,MARÍLIA/SP
"[""AGENDA"",""MÉDICO AD"",""ESCUTA INICIAL"",""MÉDICO""]",INSATISFEITO,"- Adição de caracteres no campo das prescrições.
- Visualização dos atendimentos anteriores simultaneamente na página do SOAP.",5.0.0,17-05-2022 10:05:14,null
"[""COORDENADOR DA UBS"",""ESCUTA INICIAL"",""MÉDICO""]",MUITO_INSATISFEITO,"SOAP muito poluído. Vários erros durante a inclusão de medicamentos, não permite impressão sem justificativa, sistema trava em alguns momentos, não deixa salvar atendimentos registrados em atendimento tardio.",5.0.0,17-05-2022 10:05:38,MARÍLIA/SP
"[""AGENDA"",""RECEPÇÃO"",""COORDENADOR AD"",""DIGITADOR"",""ACS - AGENTE COMUNITÁRIO DE SAÚDE"",""ESCUTA INICIAL""]",INSATISFEITO,"CLIQUEI EM INSATISFEITO, MAS NA MAIOR PARTE O SISTEMA É BOM, UM DOS MOTIVOS DA MINHA RESPOSTA É QUE POR ALGUMAS VEZES QUANDO VAMOS ATUALIZAR O CADASTRO DO CIDADÃO, ALTERAMOS OS DADOS COMO TELEFONE E ENDEREÇO, E QUANDO VAMOS SALVAR, DÁ A MENSAGEM ""CIDADÃO JÁ CADASTRADO"", SÓ SENDO POSSÍVEL CRIAR UM NOVO CADASTRO E APÓS UNIFICÁ-LOS",5.0.0,17-05-2022 10:06:45,MARÍLIA/SP
"[""COORDENADOR DA UBS"",""ESCUTA INICIAL"",""MÉDICO""]",MUITO_INSATISFEITO,"tela de atendimento extremamente poluída. não pode colocar , ou . na região da receita.",5.0.0,17-05-2022 10:07:31,MARÍLIA/SP
"[""AGENDA"",""RECEPÇÃO"",""COORDENADOR DA UBS"",""DIGITADOR"",""ESCUTA INICIAL"",""MÉDICO""]",SATISFEITO,"Com melhoras na visualização do prontuário, porem com retirada de facilidade na digitação nas receitas; algumas dificuldades em finalizar prontuários, receitas, etc.??? Marilia-SP",5.0.0,17-05-2022 10:08:23,MARÍLIA/SP
"[""AGENDA"",""RECEPÇÃO"",""COORDENADOR DA UBS"",""COORDENADOR AD"",""CIRURGIÃO DENTISTA"",""ESCUTA INICIAL""]",MUITO_INSATISFEITO,"Interface poluida, dificulta saber se foram incluídos todos os procedimentos. Travamento constante causa impacto direto na alimentação do sistema e na produtividade diária.
Algumas inclusões são bem vindas (odontologia), mas no todo, perdem a relevância pelas dificuldades apresentadas ao longo dos dias após a nova atualização",5.0.0,17-05-2022 10:17:21,MARÍLIA/SP
"[""COORDENADOR DA UBS"",""CIRURGIÃO DENTISTA"",""ESCUTA INICIAL""]",INSATISFEITO,muito poluído dif. de escrever,5.0.0,17-05-2022 10:40:44,MARÍLIA/SP
"[""AGENDA"",""COORDENADOR DA UBS"",""MÉDICO AD"",""ESCUTA INICIAL"",""MÉDICO""]",INSATISFEITO,"O VISUAL FICOU MUITO MAIS CONFUSO. É BOPM TERMOS OS DADOS TODOS NA TELA, MAS O ESPAÇO DAS JANELAS PARA ESCREVER FICOU MINUSCULO E DE PÉSSIMA VISUALÇIAZAÇÃO. A DIFICULDADE DE SE ESCREVER AS PRESCRIÇÕES NA JANELA ADEQUADA DA DOSE FICOU PIOR. HÁ PROBLEAS DE FINALIZAÇÃO DE CONSULTAS: AS VEZES O SISTEMA NÃO RECONHECE OS DIAGNOSTICOS .",5.0.0,17-05-2022 10:46:33,MARÍLIA/SP
"[""MÉDICO""]",MUITO_INSATISFEITO,"Espaço visível muito pequeno para digitações
para imprimir tenho que dar a ordem até 5 vezes
muito bonitinho mas atrapalha no fluxo de atendimento",5.0.0,17-05-2022 10:50:17,MARÍLIA/SP
"[""AGENDA"",""CIRURGIÃO DENTISTA"",""ESCUTA INICIAL""]",INDIFERENTE,"A tela do SOAP deveria ter a opção de visualização de ""tela inteira"";

Deveria ser mantida o campo ""evolução odontológica"", logo após a inserção do procedimento; 

Deveria padronizado para todos os campos: salvar as informações ou simplesmente manter salvamento automáticos em tempo real;

DEVERIA TER ESPAÇO PARA ADICIONAMENTO E INSERÇÃO DE EXAMES DE IMAGEM;",5.0.0,17-05-2022 10:53:13,MARÍLIA/SP
"[""ESCUTA INICIAL"",""MÉDICO""]",INSATISFEITO,itens muito confusos.,5.0.0,17-05-2022 10:55:49,null
"[""AGENDA"",""RECEPÇÃO"",""DIGITADOR"",""OUTRO PROF. NÍVEL SUPERIOR"",""ESCUTA INICIAL""]",SATISFEITO,"Quando o paciente não comparecer ao agendamento, esta informação deveria aparecer no histórico do PEC. Assim que informarmos a falta do cidadão essa informação deveria aparecer no rol do histórico. Isso, além de informativo para todos os profissionais, é uma proteção para o profissional que agendou, principalmente o profissional em Saúde Mental.",5.0.0,17-05-2022 11:09:23,MARÍLIA/SP
"[""AGENDA"",""COORDENADOR DA UBS"",""MÉDICO AD"",""ESCUTA INICIAL"",""MÉDICO""]",MUITO_INSATISFEITO,Muito poluido. Tiraram a barra para numerar.,5.0.0,17-05-2022 11:24:39,MARÍLIA/SP
"[""MÉDICO"",""ESCUTA INICIAL""]",INDIFERENTE,"nao estou conseguindo lançar puericultura  , e um atendimento a uma idosa de 82 anos",5.0.0,17-05-2022 11:33:19,DOURADOS/MS
"[""RECEPÇÃO"",""ACS - AGENTE COMUNITÁRIO DE SAÚDE"",""ESCUTA INICIAL""]",INDIFERENTE,Espaço para lançar por escrito ocorrências da visita domiciliar.,5.0.0,17-05-2022 13:36:13,MARÍLIA/SP
"[""AGENDA"",""RECEPÇÃO"",""COORDENADOR DA UBS"",""CIDADÃO"",""DIGITADOR"",""ESCUTA INICIAL"",""ENFERMEIRO""]",INSATISFEITO,Layout muito poluído,5.0.0,17-05-2022 13:40:13,MARÍLIA/SP
"[""OUTRO PROF. NÍVEL SUPERIOR"",""MÉDICO""]",INSATISFEITO,"Todos os dias acontece erro em um único atendimento entre todos os realizados, o que impossibilita a evolução do mesmo. O Sistema trava ao abrir o atendimento.",5.0.0,17-05-2022 13:56:41,MARÍLIA/SP
"[""ESCUTA INICIAL"",""AUXILIAR OU TÉCNICO DE ENFERMAGEM""]",INSATISFEITO,voltar ao sistema antigo,5.0.0,17-05-2022 15:04:50,MARÍLIA/SP
"[""RECEPÇÃO"",""ACS - AGENTE COMUNITÁRIO DE SAÚDE"",""ESCUTA INICIAL""]",INSATISFEITO,não resolve nada,5.0.0,17-05-2022 17:40:29,DOURADOS/MS
"[""AGENDA"",""DIGITADOR"",""OUTRO PROF. NÍVEL SUPERIOR"",""ESCUTA INICIAL""]",INSATISFEITO,dessa forma as informações ficaram bagunçadas,5.0.0,18-05-2022 10:00:28,MARÍLIA/SP
"[""AGENDA"",""COORDENADOR DA UBS"",""DIGITADOR"",""CIRURGIÃO DENTISTA"",""ESCUTA INICIAL""]",MUITO_INSATISFEITO,"NÃO GOSTEI DESSE FORMATO, A TELA FICA POLUÍDA, MUITO DIFÍCIL ACHAR AS INFORMAÇÕES, DEVERIA VOLTAR PARA O FORMATO ANTIGO.",5.0.0,18-05-2022 10:07:52,MARÍLIA/SP
"[""MÉDICO""]",MUITO_INSATISFEITO,"layout confuso, visualmente poluido, pouco intuitivo, muitas informações concentradas numa unica tela, com necessidade de baixar o arquivo da anamnese para impressão. Entre outras palavras, pessima experiencia com a plataforma",5.0.0,18-05-2022 16:28:39,MARÍLIA/SP
"[""ACE - AGENTE DE COMBATE ÀS ENDEMIAS"",""DIGITADOR"",""ESCUTA INICIAL""]",SATISFEITO,O sistema é ótimo de ser usado,5.0.0,19-05-2022 16:37:51,MARÍLIA/SP
"[""ACE - AGENTE DE COMBATE ÀS ENDEMIAS"",""ESCUTA INICIAL""]",SATISFEITO,Iniciante.,5.0.1,23-05-2022 14:56:08,null
"[""MÉDICO"",""ESCUTA INICIAL""]",MUITO_INSATISFEITO,nada intuitivo,5.0.0,23-05-2022 21:13:41,PELOTAS/RS
"[""RECEPÇÃO"",""ACS - AGENTE COMUNITÁRIO DE SAÚDE""]",MUITO_INSATISFEITO,SOFTWARE TRAVA MUITO,5.0.0,28-05-2022 13:59:58,SANTA LUZIA/MG
